id,name,summary,listing_url,picture_url,host_id,neighbourhood,street,zipcode,latitude,longitude,room_type,amenities,price,extra_people,minimum_nights,calculated_host_listings_count,availability_365
227964,Bohemian Bungalow in Brunswick,"A harmonious and cosy place, over looking a park in a dead end street. Within walking distance to all the bohemian cultural offerings of Brunswick.",https://www.airbnb.com/rooms/227964,https://a0.muscache.com/im/pictures/2843399/68db9dca_original.jpg?aki_policy=large,1165452,Moreland,"Melbourne, Victoria, Australia",3056,-37.76957,144.97048,Private room,"{Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Essentials,Shampoo,Hangers,""Laptop friendly workspace""}",89,$0.00 ,7,1,363
229430,ROOM IN MODERN TOWNHOUSE Melbourne ,No summary,https://www.airbnb.com/rooms/229430,https://a0.muscache.com/im/pictures/2101240/8c551e49_original.jpg?aki_policy=large,1198300,Boroondara,"Melbourne , Victoria, Australia",3123,-37.82995,145.05102,Private room,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",Essentials}",49,$0.00 ,2,1,0
230790,Clarelee - Belgrave Accommodation,'Clarelee' 5-BR guesthouse $140/room OR $500/whole house. Clarelee is close to Puffing Billy. NOTE: Rooms are BOOKED INDIVIDUALLY. Base rate is for self-catering. $140/room/night  or $500 (whole house)/night plus Aibnb fee. All bedrooms have ensuite. Light breakfast option is an additional $10/room/night,https://www.airbnb.com/rooms/230790,https://a0.muscache.com/im/pictures/2119928/f7455290_original.jpg?aki_policy=large,1197236,Yarra Ranges,"Belgrave, Victoria, Australia",3160,-37.90514,145.35261,Entire home/apt,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Heating,""Smoke detector"",""Fire extinguisher"",Essentials}",500,$50.00 ,1,1,358
232088,Melbourne 2  Bedrooms 2 Bathrooms FULL Kitchen,CHEAPER than a hotel - room.   A lot more included here. 2 bedrooms 2 full bathrooms and a full kitchen. MONTHLY  2 persons  @ $39 each person per night....     4 persons  @ $32 each person    >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> Bedroom 1 (Website hidden by Airbnb) Queen bed   ............................... Bedroom 2 (Website hidden by Airbnb) Double bed and 1 single bed. >>>>>>>>> BOOK IN: AFTER 10am ..................  BOOK OUT 11 am,https://www.airbnb.com/rooms/232088,https://a0.muscache.com/im/pictures/4a2cf991-c2dc-4918-8ac1-1cd129288b4b.jpg?aki_policy=large,1214242,Moreland,"Hadfield, Victoria, Australia",3046,-37.71003,144.95157,Entire home/apt,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",Heating,""Family/kid friendly"",Washer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Pocket wifi"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""EV charger"",""Single level home"",""BBQ grill"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Cleaning before checkout"",""Wide hallways"",""No stairs or steps to enter"",""Wide entrance for guests"",""Flat path to guest entrance"",""Well-lit path to entrance"",""Disabled parking spot"",""No stairs or steps to enter"",""Wide entrance"",""Extra space around bed"",""Accessible-height bed"",""No stairs or steps to enter"",""Wide doorway to guest bathroom"",""Accessible-height toilet"",""Wide clearance to shower, toilet"",""No stairs or steps to enter"",""Wide entryway"",""Host greets you"",""Handheld shower head""}",78,$25.00 ,4,3,297
232812,Parkland apartment on edge of CBD,Light filled and quirky in a quiet parkland neighbourhood. The apartment is on two levels with a mezzanine floor and high windows on both upper level rooms. The two bathrooms are connected by a shared toilet.  The living room has a large north facing window looking onto the courtyard garden,https://www.airbnb.com/rooms/232812,https://a0.muscache.com/im/pictures/2327222/0ef042a5_original.jpg?aki_policy=large,950667,Melbourne,"Parkville, Victoria, Australia",3052,-37.7857,144.95616,Entire home/apt,"{TV,Internet,Wifi,Kitchen,""Free parking on premises"",Breakfast,Heating,Washer,Dryer,""Smoke detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Hot water""}",190,$60.00 ,2,1,69
240410,Beautifully Appointed Apt - Central,"Our apartment is loved by travellers for its beautifully comfortable bed, with crisp cotton bed linen, its great bathroom with huge walk in shower that people love, and free wifi.  A quick walk to the Queen Vic Markets to stock up on provisions!",https://www.airbnb.com/rooms/240410,https://a0.muscache.com/im/pictures/8984812/14058406_original.jpg?aki_policy=large,1260586,Melbourne,"North Melbourne, Victoria, Australia",3051,-37.80507,144.9519,Entire home/apt,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Heating,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""High chair"",Crib,""Hot water"",""Luggage dropoff allowed"",""Wide hallways"",""No stairs or steps to enter"",""Extra space around bed"",""Accessible-height bed"",""No stairs or steps to enter"",Other,""Roll-in shower""}",155,$20.00 ,2,1,318
241263,Cosy retreat with amazing views,"Spacious apartment, in leafy Parkville. Inner city location, across the road from Royal Park golf course. One block from Princes Park with its running track. Enjoy your own sunny room and private bathroom, access to large living area, kitchen & laundry. Short walk to tram and train.",https://www.airbnb.com/rooms/241263,https://a0.muscache.com/im/pictures/764fd64a-4fc1-4a54-9c17-30923cdcd9ee.jpg?aki_policy=large,1345462,Melbourne,"Parkville, Victoria, Australia",3052,-37.78128,144.95618,Private room,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",Elevator,""Buzzer/wireless intercom"",Heating,Washer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Building staff"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallways"",""No stairs or steps to enter"",""Flat path to guest entrance"",""Well-lit path to entrance"",""No stairs or steps to enter"",""Extra space around bed"",""Accessible-height bed"",""No stairs or steps to enter"",""Accessible-height toilet"",""Wide clearance to shower, toilet"",""No stairs or steps to enter"",""Roll-in shower""}",84,$0.00 ,1,1,344
244872,Cool spot near chapel st!,No summary,https://www.airbnb.com/rooms/244872,https://a0.muscache.com/im/pictures/2316422/9d1424be_original.jpg?aki_policy=large,605990,Stonnington,"Prahran, Victoria, Australia",3181,-37.85077,145.01013,Private room,"{TV,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Washer / Dryer"",Gym,Breakfast,Heating,""Family/kid friendly"",Washer,Dryer}",73,$0.00 ,1,1,365
244952,Treehouse apartment in Fitzroy,"Spacious, light filled one bedroom apartment in the heart of Fitzroy. The apartment is in a prime location with amazing cafes, restaurants, shops and transport options on your doorstep. Yet it's also very peaceful and quiet and surrounded by trees.",https://www.airbnb.com/rooms/244952,https://a0.muscache.com/im/pictures/99557487/9b904cd7_original.jpg?aki_policy=large,287730,Yarra,"Fitzroy, Victoria, Australia",3065,-37.80403,144.97908,Entire home/apt,"{TV,Internet,Wifi,Kitchen,""Free parking on premises"",Heating,Washer,Dryer,""Smoke detector"",""First aid kit"",Essentials,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed""}",125,$20.00 ,2,1,132
247006,Albert Park: Between St Kilda & CBD - Perfect spot,"King Size bed, selection of pillows, free flowing hot shower, a breakfast to set you up for a great day in Melbourne & wifi  A generous continental breakfast provided including GF options. Melbourne's best kept secret - Albert Park home to Bars, cafes & connected by 3 tram routes to St Kilda, Fitzroy & CBD. Quiet tree lined street just 3 minutes walk to a wide selection of cafes, bars, restaurants.  MSAC, Lake & Beach within 7 mins walk.",https://www.airbnb.com/rooms/247006,https://a0.muscache.com/im/pictures/a82adb4f-7a43-4d23-b0b8-b5a80097557e.jpg?aki_policy=large,538647,Port Phillip,"Albert Park, Victoria, Australia",3206,-37.84506,144.9571,Private room,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Gym,Breakfast,Heating,Washer,""Smoke detector"",""First aid kit"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox}",92,$100.00 ,2,1,90
